34567890123456;A PAGAR;2010-01-10;727.92
45678901234567;A PAGAR;2010-01-10;1053.67
45678901234580;LIBERADA;2010-01-10;663.67
62840939274832;A PAGAR;2010-01-10;110.10
09230948932014;A PAGAR;2010-01-11;1503.91
29875294982048;A PAGAR;2010-01-11;1215.99
21847984738284;A PAGAR;2010-01-11;398.33
73928234787203;A PAGAR;2010-01-12;719.17
87389138388187;A PAGAR;2010-01-12;494.83
29875294982042;A PAGAR;2010-01-17;715.93
29875294982043;LIBERADA;2010-01-17;112.73
87389138388188;A PAGAR;2010-01-17;223.08
09230948932015;A PAGAR;2010-01-20;1263.08
73928234787240;A PAGAR;2010-02-05;65.06
73928234787241;A PAGAR;2010-02-05;724.95
